PRCP,TAVG,TMAX,TMIN
0.01,55,56,53
0.06,54,60,51
0.06,57,59,54
0.05,48,51,45
0.19,47,57,41
0.15,51,51,47
0.35,46,54,38
0.07,42,42,41
0.87,43,55,36
0.27,47,47,40
0,42,55,31
0.19,53,56,31
0.57,49,58,44
0.23,49,52,44
0.03,40,45,38
0.55,42,49,30
0.22,47,51,43
0.05,44,50,40
0.84,42,49,38
0.11,43,45,37
0.22,43,48,39
0.02,41,42,39
0.08,39,44,35
0.76,38,43,33
0,38,43,37
0,38,41,30
0,38,44,36
0.04,36,42,32
0.02,34,41,32
0,34,40,31
0.01,37,44,31
0.02,42,48,34
0,44,45,37
0,39,46,37
0.05,38,49,29
0.08,48,56,31
0,51,54,48
0.01,49,57,45
0,56,59,50
0.17,51,56,55
0.59,51,57,44
0.04,46,51,47
0.18,43,53,36
0.03,48,49,41
0.03,38,48,35
0.03,47,54,36
0.07,49,53,48
0.02,40,45,39
0.01,40,51,35
0,49,53,40
0.21,45,51,48
0.04,42,52,37
0.28,41,48,36
0.04,42,47,40
0.13,37,40,35
0,37,46,33
0.01,37,46,29
0.09,39,45,30
0.02,41,44,37
0.06,38,45,38
0,33,46,28
0.61,44,49,31
0.06,36,42,35
0.01,36,47,28
0.01,44,51,34
0.23,46,52,44
0.07,49,54,44
0,40,47,36
0,36,47,32
0,33,46,26
0,35,42,29
0,40,48,34
0,40,44,39
0.09,38,47,36
0.28,42,52,30
0.18,47,54,37
0.03,40,48,34
0.23,40,49,38
0.09,37,45,32
0.01,39,48,34
0,35,43,30
0.04,37,48,30
0.15,42,50,35
0,41,50,36
0,43,54,37
0,49,56,43
0,52,59,49
0,49,56,47
0,43,51,38
0,44,51,38
0,44,49,42
0,41,48,40
0,36,46,28
0,42,46,38
0,42,51,37
0,42,47,34
0,44,47,42
0.07,48,54,42
0.02,46,54,44
0.07,47,57,39
0.15,47,54,49
0.09,44,51,41
0,41,53,34
0,41,52,37
0.01,42,53,35
0.02,43,55,35
0.11,47,52,41
0.34,45,49,42
0.03,45,51,43
0.09,47,54,44
0.02,45,56,36
0.11,43,50,43
0.05,45,56,38
0.06,43,52,40
0.01,39,48,34
0.2,42,51,29
1.14,45,48,44
0,47,57,45
0.06,45,55,36
0,46,52,45
0.03,43,51,40
0,39,49,33
0,42,53,31
0,48,56,44
0,46,54,44
0,45,58,36
0,48,57,38
0,47,54,46
0,44,55,34
0.01,45,55,35
0,45,56,43
0.06,40,52,34
0.14,38,48,32
0.07,39,49,34
0.09,41,52,35
0.03,44,54,38
0.19,54,62,42
0.02,51,57,46
0,49,58,42
0,51,60,45
0,52,62,49
0.14,50,60,43
0.06,50,56,46
0.04,57,68,49
0.06,56,63,50
0.38,54,65,52
0.04,54,62,52
0,56,66,51
0,53,61,47
0,49,57,43
0,49,62,40
0,49,62,41
0.05,56,65,45
0.15,51,60,47
0.02,53,67,42
0.09,54,59,49
0.46,54,64,53
0.26,50,59,43
0,50,60,43
0,50,61,39
0,49,56,47
0,49,56,48
0,51,60,43
0,55,64,50
0,56,67,47
0,56,69,45
0,58,71,47
0,55,65,46
0,54,64,46
0,53,65,42
0,56,70,44
0,62,72,55
0.04,62,73,53
0.02,62,71,59
0,59,68,56
0,60,71,54
0.21,62,68,58
0.26,60,68,57
0.11,59,71,56
0.04,57,65,53
0.76,57,63,55
0.05,56,64,48
0,53,57,49
0,53,59,51
0.08,53,63,44
0.25,60,66,55
0,60,67,56
0,60,69,54
0,59,68,54
0.12,58,69,47
0.52,55,63,52
0.07,57,64,53
0.05,57,66,53
0.01,57,67,52
0.59,54,62,48
0.04,56,65,50
0.07,54,61,47
0.13,53,62,47
0.03,54,64,46
0,57,67,49
0.13,57,69,46
0,55,65,47
0.02,59,67,51
0,62,71,56
0.11,62,70,57
0,64,74,60
0.12,61,69,59
0.04,58,69,56
0,55,64,46
0.05,55,63,48
0.09,57,68,47
0.08,65,77,55
0,62,73,56
0,64,76,54
0,70,81,60
0,67,80,58
0,65,72,64
0.08,65,74,60
0,62,69,58
0,63,71,59
0,61,72,55
0.2,58,66,53
0.22,60,68,56
0.08,60,67,56
0.16,62,70,57
0,60,70,55
0,58,66,54
0,58,67,51
0.09,57,63,52
0.08,62,72,57
0.04,61,67,58
0,61,70,58
0,60,71,53
0,64,75,54
0.02,61,70,59
0.04,57,67,51
0.07,54,62,47
0.09,56,60,52
0,59,67,54
0.02,62,71,55
0,60,65,55
0,59,64,56
0,59,74,46
0.05,62,74,53
0.65,61,65,61
0.56,60,69,57
0.43,60,70,56
0.43,60,70,57
0.06,61,67,56
0.17,65,71,59
0.04,60,65,59
0,58,71,50
0,58,69,48
0,59,70,51
0,57,69,48
0,60,70,56
0,60,74,47
0.06,63,72,57
