PRCP,TAVG,TMAX,TMIN
0.2,42,53,34
0.07,44,48,40
0.17,44,51,40
0.11,48,53,44
0.43,48,52,45
0.14,46,54,42
0.15,40,53,34
0.03,45,52,40
0,49,57,44
0,54,64,47
0,52,58,50
0.03,49,54,50
0,43,51,36
0,44,52,36
0,46,54,39
0,45,56,37
0,46,58,39
0,48,63,36
0,46,57,37
0,46,55,41
0,41,52,30
0.11,47,55,40
0,39,47,34
0.37,39,47,35
0.48,40,47,38
0.18,41,48,32
0,45,53,41
0,43,51,33
0.18,47,49,41
0,47,52,46
0,43,50,42
0,42,56,32
0,43,51,34
0,46,49,42
0.25,44,47,42
0.31,44,49,41
0,46,50,43
0,46,55,32
0,49,61,39
0,53,69,42
0,57,69,44
0,60,72,47
0,54,71,46
0,54,65,50
0.33,51,59,50
0.19,48,53,43
0.32,49,54,46
0.02,46,54,42
0,47,54,40
0.03,50,56,47
0.04,51,56,51
0.01,50,61,45
0.01,50,60,47
0,47,53,43
0,42,56,36
0,42,54,33
0,45,55,37
0.09,47,55,43
0.14,46,48,46
0.37,45,52,45
0.07,45,56,37
0,47,59,37
0,49,65,37
0,55,66,42
0,53,67,41
0,54,68,44
0,51,63,44
0.02,50,57,45
0.01,51,58,46
0.04,50,59,46
0.06,50,63,43
0,50,63,38
0,53,64,49
0,55,63,50
0,57,65,52
0.03,58,67,52
0,58,65,57
0.43,51,63,49
0.05,51,60,46
0.05,55,64,48
0,62,71,55
0,59,67,58
0.05,56,68,45
0,59,67,56
0.37,53,63,47
0.78,51,54,46
0.01,50,55,48
0.01,50,62,46
0,50,59,39
0,53,63,47
0.06,52,62,45
0.08,53,61,47
0.05,53,60,47
0.13,51,53,51
0,50,55,50
0.48,51,60,42
0,52,63,48
0.16,54,65,45
0,56,67,49
0,56,67,46
0.04,56,64,51
0.03,53,63,47
0,53,65,43
0,54,64,43
0.64,57,64,54
0,58,66,56
0,59,66,54
0,57,65,53
0,60,68,55
0.03,64,75,56
0,63,72,58
0.02,60,69,56
0,58,67,54
0,56,64,51
0,55,67,44
0,59,74,47
0.01,60,70,50
0.04,58,62,57
0,57,67,51
0.04,57,65,50
0,63,75,57
0.19,62,70,56
0,64,72,59
0,60,65,56
0,59,69,56
0,57,67,47
0,62,76,50
0.01,65,73,58
0.07,61,67,56
0.11,61,71,54
0.15,62,72,54
0,61,67,57
0.27,62,71,52
0,70,80,64
0,66,78,61
0,66,77,61
0,66,75,62
0.07,65,74,64
0,60,71,51
0,59,69,51
0.07,60,71,54
0.9,60,66,56
0,60,69,55
0,60,70,52
0,61,72,50
0.09,62,71,58
0.13,63,74,58
0.06,61,72,54
0.11,60,68,58
0,61,72,55
0.8,59,68,52
0.13,62,69,59
0.4,62,68,62
0,57,66,55
0.13,53,64,47
0.08,55,67,46
0.01,62,71,57
0.15,61,70,55
0.14,62,72,58
0,59,67,53
0.12,57,66,53
0,56,66,51
0.09,55,63,47
0.16,57,63,52
0,63,70,56
0,63,74,56
0,60,71,52
0,60,71,54
0,59,71,51
0,61,73,52
0,59,68,54
0,60,69,53
0.09,63,70,61
0.01,58,65,54
0,54,65,47
0.1,56,64,51
0.06,61,72,56
0.01,54,62,49
0.02,54,66,44
0,56,65,54
0,54,66,50
0.08,57,67,47
0.01,55,63,53
0.04,53,63,43
0.01,61,67,50
0.02,59,71,55
0,53,65,45
0.02,56,69,42
0.43,56,56,54
0,53,58,53
0,50,64,43
0,53,69,41
0,55,68,44
0,58,67,47
0.39,61,69,54
0.21,60,67,59
0.3,56,62,46
0,60,69,55
0.07,59,66,52
0.15,56,63,53
0.06,55,62,51
0.76,56,63,53
0,54,64,52
0.97,51,56,43
0.18,49,51,50
0,45,55,37
0.25,52,61,43
0.03,54,59,53
0.54,55,61,49
0.22,53,60,48
0.02,56,63,49
0,53,59,51
0.02,50,57,46
0.11,53,61,48
0,53,59,50
0.27,51,60,41
0.25,48,57,45
0.08,50,59,40
0.11,52,58,45
0.02,50,58,44
0.04,50,58,44
0.04,47,55,43
0.04,46,54,44
0,45,54,41
0,43,56,35
0,47,54,36
0,53,57,47
0.04,48,57,45
0.39,40,44,36
0.01,41,49,40
0,40,52,35
0,40,51,30
0,47,51,35
0,49,53,48
0.19,49,56,48
0.17,55,57,49
0.8,48,51,42
0.09,43,47,42
0.58,46,50,41
0,47,51,45
0.37,43,50,38
0.46,44,47,41
0.25,41,49,38
0.18,42,48,35
0.31,40,46,34
0,41,46,36
0,40,48,36
0.61,41,46,36
0,41,44,39
0,39,47,36
0,37,39,33
0,38,46,33
0,37,50,29
0.14,44,52,31
0.11,46,51,33
0.29,45,46,44
0.74,44,49,43
0.04,47,50,42
0.41,46,50,43
0.34,50,54,45
0.14,49,54,47
0,46,52,44
0.03,44,49,42
0.02,39,45,33
0.01,42,47,33
0.02,36,43,32
0,36,43,31
0,41,47,30
0,46,50,35
0.04,48,54,40
0,49,51,47
0.22,49,55,44
0.22,44,48,41
0.03,44,56,41
0.14,48,58,38
0.23,39,42,38
0.2,42,47,36
0.01,42,46,40
0,38,42,36
0,38,42,33
0.01,39,42,32
0,36,47,36
0.22,43,54,29
0.51,47,50,42
0,40,44,39
0,37,42,33
0.01,42,47,37
0.1,43,47,41
0,42,47,39
0.04,39,47,32
0.03,46,51,32
0,50,56,43
0,51,57,44
0,52,56,51
0,47,52,45
0,45,49,44
0,40,51,33
0.04,49,53,33
0,42,45,38
0,44,49,38
0.08,48,53,44
0.09,47,54,48
0,52,58,42
0.41,45,47,45
0,38,42,37
0.01,42,55,33
0.4,50,56,33
0.01,42,47,38
0.2,43,50,37
0.14,40,43,39
0,42,50,38
0.04,47,54,41
0,40,43,38
0,35,42,29
0,37,45,26
0.01,41,48,28
0,45,47,36
0,47,51,43
0,44,52,44
0,43,45,42
0.07,45,50,42
0,44,46,44
0,40,45,36
0,37,43,34
0,42,51,36
0.04,49,56,42
0,52,57,46
0.11,46,52,45
0.08,46,53,41
0.03,42,45,42
0,40,49,37
0,40,49,32
0,40,50,29
0.03,45,52,30
1.3,45,53,39
0.36,49,53,42
0.1,38,41,37
0.19,36,40,33
0.07,38,45,33
0,41,52,36
0.06,46,54,35
0.65,48,54,42
0.13,42,47,40
0.26,41,48,38
0.11,39,46,37
0.32,44,51,36
0.03,43,48,39
0.22,47,53,36
0.37,45,47,43
0.67,43,52,41
0.03,45,53,39
0.1,37,42,36
0,38,46,34
0.08,38,47,32
0.1,47,57,35
0.15,40,44,35
0.03,39,44,36
0.05,38,47,34
0,41,49,37
0,37,48,34
0.02,35,47,28
0,40,52,31
0.04,50,57,39
0.08,44,52,42
0.33,45,54,41
0.07,49,54,43
0.24,44,53,41
0.1,40,49,33
0.01,44,53,40
0.08,47,56,41
0,44,51,42
0,43,52,30
0.15,51,60,44
0,42,47,42
0,37,49,30
0,39,48,28
0,43,47,42
0,42,52,33
0,46,60,33
0,49,58,44
0,49,61,41
0,45,56,37
0,45,51,38
0,45,51,43
0,38,45,39
0,40,48,30
0,44,51,36
0.01,45,52,41
0.04,47,54,45
0.01,47,54,42
0,49,55,44
0.05,52,64,48
0,50,58,44
0,47,61,35
0,50,63,38
0,47,59,41
0,54,68,45
0,56,69,50
0.02,49,52,47
0,43,49,45
0,42,58,31
0,45,58,34
0,47,58,38
0.09,50,58,46
0.07,46,51,45
0,47,56,45
0,47,57,39
0,50,60,45
0,50,59,46
0,49,58,45
0,48,62,40
0,51,65,43
0,49,53,49
0,46,56,39
0,44,54,34
0.22,47,59,42
0.02,46,54,40
0.02,46,58,39
0,48,62,39
0,48,60,38
0,49,58,38
0,49,57,46
0.07,49,59,42
0,56,67,49
0,56,65,49
0,55,68,45
0,48,51,49
0,43,51,41
0,46,58,33
0,44,52,38
0,44,59,31
0,48,58,38
0,52,63,43
0.03,55,65,49
0.01,56,65,52
0,60,72,56
0.01,58,74,47
0.09,55,65,51
0.06,55,65,51
0.03,53,62,48
0,58,70,52
0,55,68,42
0,59,68,55
0,57,68,49
0,60,74,50
0,60,74,52
0,59,72,49
0,58,71,48
0,58,70,49
0.03,62,79,44
0,53,59,51
0.04,52,64,44
0.02,50,61,48
0.04,48,55,41
0,53,64,49
0,52,65,41
0.09,51,60,43
0.26,53,59,52
0.22,53,57,49
0.19,53,58,51
0,56,63,53
0.02,59,68,54
0,61,73,48
0.59,58,70,53
0,58,63,55
0.51,57,62,53
0.02,55,62,52
0.08,58,68,47
0.06,59,67,53
0.07,60,70,48
0.01,62,67,59
0,61,70,55
0.04,63,78,53
0.07,64,75,60
0.3,57,66,56
0.05,54,63,51
0.01,54,58,52
0.05,56,64,52
0.51,56,60,55
0.06,57,65,52
0.08,59,67,53
0.07,61,68,59
0.02,56,63,51
0.05,56,65,50
0.59,53,60,52
0.56,53,58,53
0,56,64,53
0,54,64,46
0,55,65,45
0.03,59,67,49
0.01,60,67,59
0.19,54,60,52
0,58,69,54
0,63,75,56
0.23,62,70,58
0,59,67,54
0,54,67,44
0,54,67,43
0.13,58,67,51
0.11,62,71,56
0.01,61,68,59
0.15,60,70,53
0.2,59,64,57
0.46,58,69,52
0.04,59,67,56
0,56,65,50
0.31,56,65,53
0,63,72,57
0.09,67,74,59
0.07,59,66,56
0.09,57,66,51
0.06,56,66,49
0,63,75,54
0.02,65,74,63
0.01,61,71,52
0,65,77,56
0,58,69,50
0,57,65,49
0.06,58,63,53
0,60,70,54
0,66,74,61
0,63,72,61
0,61,69,60
0.01,61,69,56
0.27,60,61,60
0.72,59,61,59
0.02,62,72,58
0.4,59,66,54
0.14,62,71,58
0.02,61,68,58
0.05,58,65,56
0,59,65,56
0.51,55,63,48
0.35,59,65,57
0.07,59,69,52
0.54,55,58,53
0.1,54,61,53
0,51,58,47
0,50,62,40
0,56,67,44
0.67,60,70,51
0.14,63,72,55
0,59,66,56
0.16,55,63,50
0.08,53,63,49
0.11,57,67,51
0.01,59,66,52
0.05,65,72,60
0,57,64,50
0,54,60,51
0.02,56,62,54
0,56,65,49
0,63,73,57
0.05,61,76,56
0,63,76,60
0,59,69,55
0,58,67,57
0,54,60,48
0,54,58,55
0,54,60,54
0,55,69,44
0.13,57,65,54
0.28,49,59,47
0.13,46,53,40
0,46,58,38
0,43,58,35
0,46,60,34
0.07,54,65,45
0.21,51,61,40
0.1,53,59,50
0.53,46,55,38
0,47,57,43
0.19,47,55,41
0.58,48,54,45
0.09,52,56,46
0.02,52,59,47
0.55,50,57,45
0,50,58,48
0.04,47,54,45
0.02,48,58,41
0.02,47,56,42
0.04,50,57,44
0.03,49,55,44
0.12,52,59,50
0.01,48,56,44
0.01,47,54,43
0,50,55,44
0,46,57,37
0.12,53,57,43
0,55,60,52
0,51,57,48
0.07,47,53,43
0.11,48,56,45
0,50,53,45
0.02,48,54,44
0.04,48,55,45
0.06,48,55,42
0.26,46,56,44
0.12,54,60,44
0.13,51,60,48
0.01,52,57,41
0.31,52,61,47
0.09,45,51,44
0.02,42,50,40
0,41,51,36
0.02,45,49,37
0,45,53,40
0.36,45,54,40
0.03,54,60,46
0.06,54,57,47
0,52,58,50
0.24,54,58,51
0.17,49,55,43
0.01,47,51,43
0.31,51,56,44
0.04,48,52,44
0.06,50,57,44
0.05,56,61,46
0.05,51,49,49
0.09,44,52,40
0,50,55,40
0.07,49,53,50
0,42,47,36
0,47,55,34
0.17,50,58,46
0.01,41,46,38
0,40,46,37
0,38,49,29
0,42,51,31
0,46,51,38
0.01,46,51,45
0,44,49,39
0.02,44,46,40
0.03,37,39,36
0.04,37,46,31
0.07,41,45,33
0,29,32,28
0.02,32,38,26
0,37,44,31
0.08,41,47,35
0.24,46,50,36
0.02,47,50,44
0,40,50,37
0.63,49,55,35
0.03,47,50,46
0,45,51,41
0.35,47,50,43
0.01,48,55,42
0.09,51,57,44
0.04,46,49,45
0,43,47,42
0.08,44,49,37
0.04,38,44,33
0.55,41,44,33
0,35,41,34
0,37,46,29
0.08,45,47,36
0.52,37,40,35
0.22,39,42,34
0,37,42,35
0,33,37,32
0.02,33,41,29
