"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","WDF2","WDF5","WSF2","WSF5"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-02-10","4.70",,"0.00","0.0","11.0","9","23","-6","   40","  140","14.1","16.1"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-02-11","9.84",,"0.04","0.7","11.0","21","28","11","  300","  310","21.0","31.1"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-02-12","13.65",,"0.01","1.0","13.0","7","12","-5","  330","  330","25.1","33.1"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-02-13","7.61",,"0.03","0.6","13.0","0","18","-16","  200","  220","17.0","21.9"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-02-14","18.34",,"0.00","0.0","13.0","8","15","-8","  330","  330","31.1","40.9"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-02-15","8.50",,"0.00","0.0","13.0","-8","-1","-25","  340","  340","21.9","28.0"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-02-16","3.13",,"0.00","0.0","11.8","-9","15","-27","  190","  180","10.1","13.0"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-02-17","6.26",,"0.00","0.0","11.8","9","20","4","  280","  260","14.1","19.9"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-02-18","8.28",,"0.00","0.0","11.8","6","11","-4","  320","  330","21.9","28.0"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-02-19","8.95",,"0.00","0.0","11.8","-5","-3","-16","  330","  320","21.0","28.0"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-02-20","8.72",,"0.02","0.3","11.8","-8","11","-29","  180","  170","18.1","23.0"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-02-21","6.04",,"0.00","0.0","11.8","14","25","8","  360","  190","14.1","18.1"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-02-22","10.07",,"0.00","0.0","11.8","11","14","-9","  320","  320","21.9","30.0"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-02-23","8.05",,"0.00","0.0","11.8","-5","10","-17","  220","  220","17.0","21.9"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-02-24","12.30",,"0.03","0.5","11.0","14","25","7","  330","  330","32.0","48.1"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-02-25","8.95",,"0.00","0.0","11.0","10","13","-2","  300","  310","21.0","30.0"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-02-26","7.16",,"0.00","0.0","11.0","2","8","-9","   10","  360","16.1","19.9"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-02-27","5.82",,"0.00","0.0","11.0","1","20","-19","  240","  240","14.1","21.0"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-02-28","7.38",,"0.00","0.0","11.0","11","28","0","  260","  250","15.0","21.0"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-03-01","7.16",,"0.00","0.0","11.0","18","29","5","  230","  240","16.1","21.9"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-03-02","7.38",,"0.00","0.0","11.0","23","29","0","  310","  310","18.1","30.0"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-03-03","6.71",,"0.35","3.5","11.0","13","28","-5","  280","  300","16.1","25.9"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-03-04","9.17",,"0.00","0.0","14.2","21","26","2","  310","  320","18.1","25.9"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-03-05","4.47",,"0.00","0.0","14.2","6","17","-12","  310","  320","14.1","18.1"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-03-06","10.51",,"0.00","0.0","14.2","8","31","-12","  220","  220","19.9","25.1"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-03-07","6.93",,"0.00","0.0","14.2","25","34","12","  270","  290","15.0","21.9"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-03-08","6.04",,"0.02","0.3","14.2","27","42","15","  240","  250","18.1","25.1"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-03-09","7.83",,"0.00","0.0","14.2","33","50","10","  260","  270","17.0","27.1"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-03-10","10.74",,"0.00","0.0","7.9","44","54","38","  210","  210","18.1","23.9"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-03-11","9.40",,"0.00","0.0","3.1","42","49","30","  300","  310","23.0","36.0"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-03-12","8.28",,"0.00","0.0","0.0","31","36","24","  120","  140","17.0","21.9"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-03-13","7.16",,"0.00","0.0","0.0","34","42","30","  180","  180","18.1","23.0"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-03-14","10.96",,"0.00","0.0","0.0","36","40","29","  320","  340","21.0","33.1"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-03-15","8.72",,"0.00","0.0","0.0","37","51","32","  330","  330","18.1","25.1"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-03-16","5.37",,"0.20","0.0","0.0","45","61","35","  330","  340","18.1","25.1"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-03-17","15.21",,"0.00","0.0","0.0","35","37","23","  340","  320","29.1","38.9"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-03-18","8.28",,"0.00","0.0","0.0","28","38","16","  310","  320","19.9","27.1"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-03-19","4.92",,"0.00","0.0","0.0","27","40","13","  100","  140","13.0","16.1"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-03-20","4.47",,"0.00","0.0","0.0","34","49","22","  240","  240","13.0","18.1"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-03-21","13.42",,"0.07","0.0","0.0","34","40","16","  340","  330","23.9","34.0"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-03-22","9.40",,"0.00","0.0","0.0","21","32","11","  320","  270","19.9","27.1"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-03-23","4.92",,"0.00","0.0","0.0","21","27","9","  120","   70","14.1","19.0"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-03-24","5.82",,"0.00","0.0","0.0","22","34","9","  110","  110","16.1","19.9"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-03-25","11.41",,"0.25","0.0","0.0","30","41","21","  250","  260","25.1","38.0"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-03-26","8.50",,"0.01","0.2","0.0","37","41","21","  310","  310","16.1","25.1"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-03-27","12.53",,"0.01","0.5","0.0","19","22","13","  350","  350","21.0","25.9"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-03-28","4.03",,"0.00","0.0","0.0","20","37","9","  140","  120","14.1","16.1"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-03-29","12.53",,"0.00","0.0","0.0","29","44","16","  190","  200","31.1","40.0"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-03-30","10.07",,"0.05","0.0","0.0","37","43","25","  310","  310","21.9","33.1"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-03-31","4.47",,"0.00","0.0","0.0","31","39","22","  120","  100","13.0","16.1"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-04-01","7.61",,"0.00","0.0","0.0","35","46","29","  160","  160","18.1","21.9"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-04-02","9.17",,"0.14","0.0","0.0","50","65","35","  210","  210","19.9","28.0"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-04-03","10.96",,"0.00","0.0","0.0","42","47","24","  320","  320","21.0","27.1"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-04-04","7.83",,"0.00","0.0","0.0","29","40","19","  330","  310","17.0","25.9"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-04-05","4.92",,"0.00","0.0","0.0","29","38","19","  100","  110","13.0","17.0"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-04-06","5.82",,"0.09","2.0","2.0","31","33","29","   70","   70","14.1","17.0"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-04-07","9.62",,"0.00","0.0","0.0","36","46","30","  110","  110","19.9","23.9"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-04-08","12.75",,"0.00","0.0","0.0","37","40","33","   70","   80","21.0","27.1"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-04-09","8.50",,"0.70","0.0","0.0","35","37","33","  110","  270","17.0","23.0"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-04-10","12.97",,"0.49","0.0","0.0","40","49","36","  270","  280","29.1","42.9"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-04-11","5.59",,"0.00","0.0","0.0","42","59","29","  100","  310","13.0","19.0"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-04-12","8.05",,"0.00","0.0","0.0","47","71","27","  180","  170","21.0","25.9"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-04-13","10.29",,"0.07","0.0","0.0","54","61","37","  280","  320","23.0","36.9"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-04-14","5.82",,"0.00","0.0","0.0","51","66","32","  120","  280","17.0","23.9"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-04-15","4.25",,"0.00","0.0","0.0","42","56","24","  130","  130","14.1","18.1"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-04-16","4.47",,"0.00","0.0","0.0","41","56","29","  100","  120","10.1","15.0"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-04-17","4.70",,"0.00","0.0","0.0","51","71","35","   30","   70","17.0","21.9"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-04-18","7.38",,"0.00","0.0","0.0","49","59","31","   10","   10","21.9","27.1"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-04-19","13.42",,"0.00","0.0","0.0","42","50","29","  100","  120","23.0","29.1"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-04-20","12.53",,"0.53","0.0","0.0","48","58","39","  210","  180","25.1","32.0"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-04-21","9.62",,"0.05","0.0","0.0","41","50","37","  240","  240","21.0","30.0"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-04-22","8.95",,"0.07","0.0","0.0","35","37","28","  320","  310","21.0","28.0"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-04-23","10.51",,"0.00","0.0","0.0","31","39","28","  320","  320","21.9","28.0"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-04-24","7.61",,"0.00","0.0","0.0","35","49","24","  340","  250","18.1","23.0"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-04-25","5.37",,"0.00","0.0","0.0","36","51","20","  130","  130","15.0","21.9"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-04-26","10.96",,"0.00","0.0","0.0","43","53","32","  350","  340","21.9","32.0"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-04-27","11.63",,"0.00","0.0","0.0","45","54","39","  360","   10","19.9","23.9"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-04-28","4.92",,"0.00","0.0","0.0","49","61","36","   20","   10","15.0","18.1"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-04-29","10.29",,"0.00","0.0","0.0","48","62","36","  330","  340","21.9","28.0"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-04-30","8.72",,"0.00","0.0","0.0","48","61","36","   10","  330","17.0","21.9"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-05-01","4.25",,"0.00","0.0","0.0","54","68","38","  130","  130","14.1","17.0"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-05-02","5.37",,"0.00","0.0","0.0","55","72","36","  130","  120","16.1","19.9"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-05-03","8.05",,"0.00","0.0","0.0","63","81","42","  210","  210","21.0","32.0"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-05-04","9.40",,"0.05","0.0","0.0","66","73","46","  350","  330","23.9","31.1"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-05-05","4.70",,"0.00","0.0","0.0","53","66","38","  130","  130","13.0","16.1"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-05-06","6.04",,"0.00","0.0","0.0","50","66","31","  110","   90","16.1","30.0"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-05-07","7.38",,"0.00","0.0","0.0","61","83","45","  120","  120","16.1","21.0"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-05-08","9.40",,"0.66","0.0","0.0","70","83","56","  190","  330","23.0","32.0"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-05-09","7.38",,"0.42","0.0","0.0","56","59","49","  330","  340","15.0","18.1"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-05-10","8.50",,"0.04","0.0","0.0","50","50","44","   50","   50","15.0","19.0"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-05-11","6.04",,"0.50","0.0","0.0","46","56","43","  110","   50","15.0","19.9"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-05-12","10.74",,"0.00","0.0","0.0","52","57","40","  240","  240","19.9","28.0"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-05-13","9.17",,"0.01","0.0","0.0","47","58","35","   10","  340","19.9","28.0"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-05-14","6.71",,"0.00","0.0","0.0","48","62","32","  130","  130","17.0","23.9"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-05-15","3.80",,"0.10","0.0","0.0","49","57","46","  110","  110","10.1","14.1"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-05-16","5.59",,"0.00","0.0","0.0","57","71","46","  100","  120","14.1","18.1"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-05-17","8.50",,"0.00","0.0","0.0","57","76","46","  130","  120","19.9","25.9"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-05-18","11.41",,"0.00","0.0","0.0","74","86","50","  220","  210","23.0","32.0"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-05-19","10.74",,"0.00","0.0","0.0","51","50","38","  320","  330","23.0","31.1"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-05-20","5.37",,"0.00","0.0","0.0","44","62","31","  330","  310","15.0","21.9"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-05-21","8.95",,"0.00","0.0","0.0","55","71","42","  330","  310","21.0","27.1"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-05-22","8.95",,"0.00","0.0","0.0","48","57","31","  330","  350","23.9","32.0"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-05-23","6.71",,"0.00","0.0","0.0","53","79","26","  230","  220","17.0","25.1"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-05-24","5.82",,"0.05","0.0","0.0","64","79","45","  210","  220","16.1","21.0"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-05-25","8.05",,"0.85","0.0","0.0","63","79","53","  220","  230","21.9","30.0"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-05-26","10.07",,"0.50","0.0","0.0","74","86","63","  180","  190","23.0","28.0"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-05-27","11.41",,"0.00","0.0","0.0","69","76","56","  220","  250","25.9","35.1"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-05-28","5.14",,"0.00","0.0","0.0","63","76","50","  100","  110","14.1","17.0"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-05-29","6.93",,"0.19","0.0","0.0","66","84","53","  190","  190","23.0","29.1"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-05-30","9.84",,"0.29","0.0","0.0","61","68","45","  340","  340","19.9","25.1"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-05-31","9.62",,"0.00","0.0","0.0","49","56","36","   50","   30","18.1","23.0"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-06-01","4.25",,"0.00","0.0","0.0","51","64","35","   20","   10","14.1","19.9"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-06-02","5.37",,"0.00","0.0","0.0","53","68","35","  130","  130","17.0","21.9"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-06-03","7.38",,"0.00","0.0","0.0","57","73","38","  130","  140","18.1","25.9"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-06-04","4.92",,"0.00","0.0","0.0","60","75","44","  110","  120","16.1","19.9"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-06-05","9.40",,"0.02","0.0","0.0","62","68","48","   10","   10","21.0","25.1"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-06-06","7.61",,"0.00","0.0","0.0","53","62","36","  100","  110","17.0","21.9"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-06-07","7.38",,"0.31","0.0","0.0","52","70","37","  170","  190","17.0","23.0"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-06-08","4.47",,"0.05","0.0","0.0","64","74","55","  130","  330","14.1","18.1"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-06-09","4.92",,"0.00","0.0","0.0","63","78","53","  120","  120","15.0","18.1"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-06-10","8.72",,"0.25","0.0","0.0","66","78","53","  320","  330","21.0","31.1"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-06-11","4.70",,"0.00","0.0","0.0","62","72","52","  350","  320","15.0","19.0"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-06-12","4.03",,"0.72","0.0","0.0","58","66","49","   10","  360","13.0","16.1"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-06-13","5.14",,"0.00","0.0","0.0","57","68","45","  110","  130","14.1","17.0"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-06-14","4.25",,"0.65","0.0","0.0","62","73","57","  130","  120","12.1","14.1"
"USW00094849","ALPENA CO REGIONAL AIRPORT, MI US","2015-06-15","3.58",,"0.00","0.0","0.0","67","76","62","  100","   90","13.0","17.0"
