"STATION","NAME","DATE","PRCP","TAVG","TMAX","TMIN"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-03-13","0.00","39","49","31"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-03-14","0.00","40","43","32"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-03-15","0.00","41","45","39"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-03-16","0.00","42","46","41"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-03-17","0.00","39","47","35"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-03-18","0.00","36","52","26"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-03-19","0.00","40","53","29"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-03-20","0.00","46","52","38"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-03-21","0.00","42","53","34"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-03-22","0.00","42","57","29"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-03-23","0.01","45","53","43"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-03-24","0.06","39","49","33"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-03-25","0.26","39","49","32"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-03-26","0.01","44","52","40"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-03-27","0.02","44","55","36"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-03-28","0.42","51","59","44"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-03-29","0.02","44","50","41"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-03-30","0.35","44","53","37"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-03-31","0.10","43","50","42"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-04-01","0.33","43","51","37"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-04-02","0.26","43","51","41"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-04-03","0.00","48","54","42"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-04-04","0.00","49","60","42"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-04-05","0.00","48","56","42"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-04-06","0.00","48","63","35"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-04-07","0.00","48","64","37"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-04-08","0.00","48","66","41"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-04-09","0.00","49","65","36"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-04-10","0.21","48","62","36"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-04-11","0.23","44","53","37"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-04-12","0.08","44","52","40"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-04-13","0.00","50","61","36"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-04-14","0.00","54","65","50"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-04-15","0.01","47","54","42"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-04-16","0.00","45","53","41"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-04-17","0.00","44","57","34"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-04-18","0.00","47","52","44"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-04-19","0.00","45","52","39"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-04-20","0.00","47","56","41"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-04-21","0.00","46","60","34"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-04-22","0.00","47","62","38"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-04-23","0.00","50","64","38"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-04-24","0.30","49","60","39"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-04-25","0.26","45","49","45"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-04-26","0.01","39","53","29"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-04-27","0.05","39","51","29"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-04-28","0.13","42","51","34"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-04-29","0.17","44","54","37"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-04-30","0.00","44","55","37"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-05-01","0.46","44","52","37"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-05-02","0.98","44","52","43"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-05-03","0.20","52","63","43"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-05-04","0.39","50","59","44"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-05-05","0.20","48","56","45"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-05-06","0.02","48","58","44"
"EI000003969","DUBLIN PHOENIX PARK, EI","2015-05-07","0.00","46","55","42"
